url	title	publish_date	authors	party	group	match	sentence	context	year	article_type	bias_label	bias_confidence	is_biased	id
https://nation.cymru/news/a-plaid-cymru-government-would-launch-transformational-child-payment-to-tackle-child-poverty/	A Plaid Cymru government would launch ‘transformational’ child payment to tackle child poverty	2025-03-21 11:11:08	Mark Mansfield	reform_uk	right	Reform	Mr ap Iorwerth also used his speech to attack Labour, saying the party’s failings “feed Reform’s fearmongering”.	Beware these men whose only real ideology is their ego.” He accused Reform of having “no plan, no vision” and said the party was “so unserious about winning they don’t even have a leader in Wales”. Mr ap Iorwerth also used his speech to attack Labour, saying the party’s failings “feed Reform’s fearmongering”. “We’re here to offer hope – a fresh start and an end to Labour-led rule in Wales after 26 years,” he said.	2025	news	biased	0.7538465857505798	1	0
https://nation.cymru/news/welsh-labour-ms-alun-davies-on-what-his-party-must-do-after-worst-defeat-in-100-years/	Welsh Labour MS Alun Davies on what his party must do after ‘worst defeat in 100 years’	2025-10-31 22:15:26	Mark Mansfield	reform_uk	right	Reform	I was pleased to see Reform defeated with nearly two thirds of voters supporting progressive parties.	We are not an island of strangers and neither do we dehumanise refugees. I was pleased to see Reform defeated with nearly two thirds of voters supporting progressive parties. Labour needs to learn these lessons.	2025	news	biased	0.955393135547638	1	1
https://nation.cymru/news/first-minister-warns-of-chaos-if-labour-loses-senedd-election/	First Minister warns of chaos if Labour loses Senedd election	2025-09-28 19:23:15	Mark Mansfield	reform_uk	right	Reform	“Mark my words, Wales will fall into chaos if either Plaid or Reform wins in May.	“Reform blames foreigners, Plaid blame Westminster – different poison, same bottle,” she told delegates. “Mark my words, Wales will fall into chaos if either Plaid or Reform wins in May. What we need is experience and stability in an age of instability, and that’s what Welsh Labour can offer.” Welsh Secretary Jo Stevens also warned that Reform leader Nigel Farage is a “serious threat” to Wales.	2025	news	biased	0.7718997597694397	1	2
https://nation.cymru/news/reform-uk-head-of-comms-branded-prominent-welsh-journalist-a-c/	Reform UK head of comms branded prominent Welsh journalist a ‘c***’	2025-11-28 16:30:14	Emily Price	reform_uk	right	Reform	Nigel Farage’s comms lead used the offensive swearword in response to an X post by Hayward that had been shared into the group chat which questioned why Reform UK hadn’t elected a Welsh leader.	Leaked screen grabs of a WhatsApp group chat from January this year show that Ed Sumner branded award winning investigative journalist and author Will Hayward a “cunt”. Nigel Farage’s comms lead used the offensive swearword in response to an X post by Hayward that had been shared into the group chat which questioned why Reform UK hadn’t elected a Welsh leader. Hayward had written: “Reform have said they will not name a Welsh leader ahead of the Senedd election in 2026.	2025	news	biased	0.6974084377288818	1	3
https://nation.cymru/news/farage-introducing-poison-into-politics-warns-starmer-amid-row-over-reform-ad/	Farage ‘introducing poison into politics’, warns Starmer amid row over Reform ad	2025-05-29 10:17:08	Stephen Price	reform_uk	right	Reform	“Toxic divide” Speaking at a campaign event in north-west England on Thursday, Sir Keir said: “What we’ve seen with Reform in Scotland in relation to this particular video is manipulation.	Labour has previously described the ad as “blatantly racist”. “Toxic divide” Speaking at a campaign event in north-west England on Thursday, Sir Keir said: “What we’ve seen with Reform in Scotland in relation to this particular video is manipulation. “It is, as ever with Reform and Nigel Farage, trying to divide people with a toxic divide, and to poison our politics.	2025	news	biased	0.7292935848236084	1	4
https://nation.cymru/news/uk-government-announces-1-08bn-budget-for-offshore-wind-power-support/	UK Government announces £1.08bn budget for offshore wind power support	2025-10-27 17:00:48	Molly Stubbs	reform_uk	right	Reform	It comes as the energy debate grows increasingly fractured, with the Conservatives and Reform UK pledging to ditch “expensive” net zero policies and the Climate Change Act under which targets to cut emissions to zero overall by 2050 are set, and maximise extraction of oil and gas from the North Sea.	Last week, Downing Street denied reports that Prime Minister Sir Keir Starmer has been preparing to miss the 2030 goal and that Mr Miliband is willing to commission fewer renewables projects in the coming weeks in order to keep bills down. It comes as the energy debate grows increasingly fractured, with the Conservatives and Reform UK pledging to ditch “expensive” net zero policies and the Climate Change Act under which targets to cut emissions to zero overall by 2050 are set, and maximise extraction of oil and gas from the North Sea.	2025	news	biased	0.6485415101051331	1	5
https://nation.cymru/news/farage-branded-putin-loving-free-speech-impostor-by-congressman-on-us-visit/	Farage branded ‘Putin-loving free speech impostor’ by congressman on US visit	2025-09-03 18:29:16	Mark Mansfield	reform_uk	right	Farage	“Sadly, the restrictions that have been put on her banned her from making the trip, which is a very, very great shame.” ‘Racist’ Connolly, who was freed from prison last month at the automatic release point of her sentence, had said in a post on X: “Mass deportation now, set fire to all the f****** hotels full of the bastards for all I care … if that makes me racist so be it.” Of Linehan’s arrest, Mr Farage said: “At what point did we become North Korea?	“I wanted to bring her with me today as living proof of what can go wrong. “Sadly, the restrictions that have been put on her banned her from making the trip, which is a very, very great shame.” ‘Racist’ Connolly, who was freed from prison last month at the automatic release point of her sentence, had said in a post on X: “Mass deportation now, set fire to all the f****** hotels full of the bastards for all I care … if that makes me racist so be it.” Of Linehan’s arrest, Mr Farage said: “At what point did we become North Korea? Well, I think the Irish comedy writer found that out two days ago at Heathrow Airport.” The Father Ted writer has said he was stopped by five armed officers at Heathrow Airport over three posts and taken into a cell to be questioned over messages on X about transgender issues.	2025	news	biased	0.5848818421363831	1	6
https://nation.cymru/news/formal-complaint-to-returning-officer-as-reform-is-accused-of-lying-about-nation-of-sanctuary/	Formal complaint to Returning Officer as Reform is accused of lying about Nation of Sanctuary	2025-10-09 14:09:26	Mark Mansfield	reform_uk	right	Reform	Yuliia Bond, who spoke this week of how Reform’s xenophobic campaign had made Ukrainians feel they weren’t wanted and should return to their war-torn homeland, said she was outraged by the party’s leaflet.	Most of the refugees are women and children. Yuliia Bond, who spoke this week of how Reform’s xenophobic campaign had made Ukrainians feel they weren’t wanted and should return to their war-torn homeland, said she was outraged by the party’s leaflet. Wording in Reform UK’s election leaflet In a Facebook post she wrote: “Just received this leaflet through the door in Caerphilly: ‘£55 million Nation of Sanctuary scheme for asylum seekers” – is a False Statement.’ “Official figures (Welsh Government, 2025).	2025	news	biased	0.6370913982391357	1	7
https://nation.cymru/news/tory-ms-accuses-reform-of-eyeing-up-seaside-town-hall/	Tory MS accuses Reform of ‘eyeing up’ seaside town hall	2026-01-28 09:15:36	Stephen Price	reform_uk	right	Reform	She said: “Very shocked and concerned to learn that allegedly the Reform leader in Conwy County Borough Council, Louise Emery (also a Llandudno Town Councillor) is now eyeing up our wonderful Llandudno Town Hall to be transferred to a Community Interest initiative,” she said.	Our community needs leadership and solutions, not cheap shots and online posturing.” Aberconwy MS Janet Finch-Saunders made the comments on her Facebook page. She said: “Very shocked and concerned to learn that allegedly the Reform leader in Conwy County Borough Council, Louise Emery (also a Llandudno Town Councillor) is now eyeing up our wonderful Llandudno Town Hall to be transferred to a Community Interest initiative,” she said. “To think that this has not yet been discussed in an open and transparent manner, nor has it received any community discussion, is an insult to all our hard-working tax payers.	2026	news	biased	0.7586385011672974	1	8
https://nation.cymru/news/former-conservative-ms-james-evans-defects-to-reform/	Former Conservative MS James Evans defects to Reform	2026-02-05 16:55:53	Kyle Bright	reform_uk	right	Reform	“Instead, I’ll stand firm and work with my Welsh Conservative colleagues to fix Wales for the benefit of everyone.” ‘Led by Tories’ Welsh Labour said the unveiling of two former Conservative politicians at the Reform UK conference in Newport showed the party was “led by Tories”.	“I promise my constituents that I won’t sacrifice my values for political opportunity. “Instead, I’ll stand firm and work with my Welsh Conservative colleagues to fix Wales for the benefit of everyone.” ‘Led by Tories’ Welsh Labour said the unveiling of two former Conservative politicians at the Reform UK conference in Newport showed the party was “led by Tories”. A spokesperson said: “Nigel Farage says there are no Tories in Wales – that’s because they’ve all jumped ship to Reform UK to save their own skins, with James Evans MS being the latest.	2026	news	biased	0.76197749376297	1	9
